,missingness_lvl,pipeline,mechanism,mean_ibs_cox,sd_ibs_cox
0,10,L,MAR,0.5458870432669289,0.04075690810290735
1,10,L,MCAR,0.5444585091487449,0.03971568861749367
2,10,L,MNAR,0.5536905668259625,0.03981998988831365
3,10,R,MAR,0.544628078585071,0.049310271850249804
4,10,R,MCAR,0.5024641524895508,0.04488473330494473
5,10,R,MNAR,0.5043637239338146,0.0470656956857457
6,20,L,MAR,0.5451368869322603,0.04035773846252945
7,20,L,MCAR,0.5449307791710658,0.039638175228674334
8,20,L,MNAR,0.5442850718017744,0.039370299255435504
9,20,R,MAR,0.5343372911304264,0.047639458114545105
10,20,R,MCAR,0.5059759707079063,0.04809783832013763
11,20,R,MNAR,0.5880351113298781,0.04769834593736368
12,30,L,MAR,0.5453292404363701,0.040292935063714515
13,30,L,MCAR,0.5457843745419395,0.04007624541434895
14,30,L,MNAR,0.5061336603853084,0.03931305442637967
15,30,R,MAR,0.44399390156498164,0.05346820435036946
16,30,R,MCAR,0.539332670972031,0.05012583700501869
17,30,R,MNAR,0.5936581238526852,0.04449733381282053
18,40,L,MAR,0.5891141319771354,0.04999994447668305
19,40,L,MCAR,0.5466849993902426,0.04008091583710493
20,40,L,MNAR,0.5472129467344348,0.04100906921300867
21,40,R,MAR,0.5857698825795674,0.05326977362471941
22,40,R,MCAR,0.5835058563194879,0.04857950290469542
23,40,R,MNAR,0.5824855583317418,0.037241572893051474
24,50,L,MAR,0.5447524579232745,0.039192659143771354
25,50,L,MCAR,0.5435820018671487,0.03929744710465767
26,50,L,MNAR,0.5444553455455843,0.03917620733334665
27,50,R,MAR,0.5985829335373936,0.03892051938629832
28,50,R,MCAR,0.3557631611058786,0.03683722938558971
29,50,R,MNAR,0.6383870953008238,0.07062090614179074
